Duration,rainIntensityIncrement,rainIntensityIncrements,vwcIncrement,controlledLo,controlledHi,controlledRate,surfaceName,runoffToName,cdaName,etTableName,productName,capacity
5,0.0007,8,5,0,70,0.05,two,three,[None],sunny,purpleRoof,0.5

month,minutes,amc,vwc,vwcGroupBy5,vwcRow,capacitySpare,rainIntensity,intensityColumn,rain,uncontrolled,controlled,input,efficiency,absorb,runoff,retPre,hourColumn,monthRow,etRate,etMax,et,ret
1,645,0.22457499999999958,44,40,8,0.2754250000000004,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.46207499999999957,5,6,0.0089,0.0445,0.0445,0.4175749999999996
1,650,0.4175749999999996,83,80,16,0.08242500000000041,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.4175749999999996,5,6,0.0089,0.0445,0.0445,0.3730749999999996
1,655,0.3730749999999996,74,70,14,0.1269250000000004,0.0,0,0.0,0,0,0.0,88,0.0,0.0,0.3730749999999996,5,6,0.0089,0.0445,0.0445,0.3285749999999996
1,660,0.3285749999999996,65,65,13,0.17142500000000038,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.3285749999999996,5,6,0.0089,0.0445,0.0445,0.28407499999999963
1,665,0.28407499999999963,56,55,11,0.21592500000000037,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.28407499999999963,5,6,0.0089,0.0445,0.0445,0.23957499999999965
1,670,0.23957499999999965,47,45,9,0.26042500000000035,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.47707499999999964,5,6,0.0089,0.0445,0.0445,0.43257499999999965
1,675,0.43257499999999965,86,85,17,0.06742500000000035,0.0,0,0.0,0,0,0.0,70,0.0,0.0,0.43257499999999965,5,6,0.0089,0.0445,0.0445,0.38807499999999967
1,680,0.38807499999999967,77,75,15,0.11192500000000033,0.0,0,0.0,0,0,0.0,85,0.0,0.0,0.38807499999999967,5,6,0.0089,0.0445,0.0445,0.3435749999999997
1,685,0.3435749999999997,68,65,13,0.1564250000000003,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.3435749999999997,5,6,0.0089,0.0445,0.0445,0.2990749999999997
1,690,0.2990749999999997,59,55,11,0.2009250000000003,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2990749999999997,5,6,0.0089,0.0445,0.0445,0.2545749999999997
1,695,0.2545749999999997,50,50,10,0.24542500000000028,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2545749999999997,5,6,0.0089,0.0445,0.0445,0.21007499999999973
1,700,0.21007499999999973,42,40,8,0.28992500000000027,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.4475749999999997,5,6,0.0089,0.0445,0.0445,0.40307499999999974
1,705,0.40307499999999974,80,80,16,0.09692500000000026,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.40307499999999974,5,6,0.0089,0.0445,0.0445,0.35857499999999976
1,710,0.35857499999999976,71,70,14,0.14142500000000024,0.0,0,0.0,0,0,0.0,88,0.0,0.0,0.35857499999999976,5,6,0.0089,0.0445,0.0445,0.31407499999999977
1,715,0.31407499999999977,62,60,12,0.18592500000000023,0.0,0,0.0,0,0,0.0,92,0.0,0.0,0.31407499999999977,5,6,0.0089,0.0445,0.0445,0.2695749999999998
1,720,0.2695749999999998,53,50,10,0.2304250000000002,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2695749999999998,6,6,0.0104,0.052,0.052,0.2175749999999998
